일자,중식계,석식계
2021-01-27,1013.7522133175472,378.5519268236777
2021-01-28,930.0385848452195,392.7059804905226
2021-01-29,626.4302068470985,272.06122419711767
2021-02-01,1205.1701294568377,546.8319072280708
2021-02-02,968.3344282650976,443.4016081178652
2021-02-03,917.4442905223265,391.09820283240816
2021-02-04,890.182640127936,436.3572819308486
2021-02-05,658.0293192384088,349.6362132902433
2021-02-08,1229.0531225135605,619.7240704095386
2021-02-09,1029.2192618743122,516.9045804955708
2021-02-10,789.8515766343068,268.31591972737556
2021-02-15,1227.049338358146,692.0737987402111
2021-02-16,1083.2576931276058,630.3194749757196
2021-02-17,1038.5542183677505,423.0961280179463
2021-02-18,861.0933035464959,512.566779976153
2021-02-19,637.8995253821106,348.2021669871886
2021-02-22,1185.0641504415344,638.1639551268407
2021-02-23,980.7173564618197,593.3480369579802
2021-02-24,860.3141278017572,366.8308062732047
2021-02-25,821.7362820917293,490.2027396470585
2021-02-26,578.7506196166727,287.4456111154912
2021-03-02,1075.0604441248017,645.0150531671771
2021-03-03,993.7370012476672,434.3946872522964
2021-03-04,908.2520136867811,526.9788888075121
2021-03-05,632.655172157423,347.51678125870546
2021-03-08,1240.1159645086684,668.7253057645977
2021-03-09,1121.7220325175751,658.1341601031113
2021-03-10,1028.837947099611,421.2396956375199
2021-03-11,913.4810333357312,511.785761926445
2021-03-12,666.0099943885497,297.1885197187249
2021-03-15,1233.2005370869774,682.6044225106093
2021-03-16,1034.9222614975179,570.6591515542135
2021-03-17,1038.1758658540748,432.6785107960683
2021-03-18,902.7076791395448,455.61452015364273
2021-03-19,628.006152699825,290.2239053922346
2021-03-22,1216.6390298764595,624.442817514445
2021-03-23,1000.2793323834481,570.0126483081519
2021-03-24,894.7245781858284,373.2168137235904
2021-03-25,823.0345430308048,413.72807784277495
2021-03-26,611.0853073480644,281.6539936704732
2021-03-29,1202.1619090403417,609.9096639204383
2021-03-30,1021.3172266466087,557.1030784598382
2021-03-31,950.6544039117377,399.7133948542135
2021-04-01,800.5226533272454,398.53014424017476
2021-04-02,608.4550185428881,268.0948465083251
2021-04-05,1185.380214254531,590.7386238863122
2021-04-06,1015.7374491506326,553.1660519605889
2021-04-07,956.1967398781674,385.53156774274976
2021-04-08,860.6835170592148,428.57272980397806
2021-04-09,604.118826134337,265.88301526796494
