일자,중식계,석식계
2021-01-27,1016.5160315955949,388.45671977144394
2021-01-28,917.0420036595185,394.97918750818377
2021-01-29,611.2446671371695,297.5330821697127
2021-02-01,1203.0205759161363,531.9647960887297
2021-02-02,968.1029767445649,436.06265060712815
2021-02-03,946.674422562536,423.44104797929543
2021-02-04,894.213281326739,440.8657348949306
2021-02-05,657.2036359479786,363.5799023007557
2021-02-08,1220.7940441984647,599.6564955429925
2021-02-09,1022.1390120391349,530.293240430706
2021-02-10,791.3176019255395,256.5789727022442
2021-02-15,1214.4001343736509,664.926965965047
2021-02-16,1088.349831151501,622.0063645137858
2021-02-17,1038.8277254664856,438.16442046649837
2021-02-18,859.3436133729977,507.3804449379011
2021-02-19,636.0657839857498,358.37566478893217
2021-02-22,1192.1200378900514,628.3945703236208
2021-02-23,1002.5752593647611,577.9427745802554
2021-02-24,884.8755607543726,392.13391802193985
2021-02-25,849.1679030002871,500.6612822169066
2021-02-26,595.6435235044881,302.7308946211496
2021-03-02,1076.3803770781067,642.0105380300281
2021-03-03,1000.6217259691317,461.5666554774611
2021-03-04,918.2527575098593,510.3198400400906
2021-03-05,653.0570765061123,363.12043435923425
2021-03-08,1261.7970484445907,689.1837715808836
2021-03-09,1149.7112823881362,662.1513367382056
2021-03-10,1033.6243844493433,449.4385538405134
2021-03-11,924.4680905261523,517.6389308617674
2021-03-12,674.3844865771713,319.04209551521893
2021-03-15,1230.3788405143464,659.3013467885366
2021-03-16,1025.386357439152,583.8541180085721
2021-03-17,1047.9300158878775,453.74978327431137
2021-03-18,900.6701435352375,454.8072959913713
2021-03-19,635.8379581271184,310.19917030319226
2021-03-22,1219.2119280286256,604.6914602676561
2021-03-23,1000.1156939171724,572.8513670871222
2021-03-24,895.719412743224,379.1012348806039
2021-03-25,824.5006041349603,410.26097312755167
2021-03-26,612.9171250073875,302.19793559238656
2021-03-29,1201.9389541618873,606.794166841529
2021-03-30,1019.2716065590273,576.4326752608381
2021-03-31,948.564772008189,427.60913660081735
2021-04-01,793.3111219834851,412.5898591261895
2021-04-02,605.8807602478744,291.88627236416414
2021-04-05,1179.263395514146,593.0707865559857
2021-04-06,994.8322049286778,564.1972248036449
2021-04-07,955.1276971219145,414.0955760902859
2021-04-08,846.9477420160543,422.3418931284167
2021-04-09,609.7939055075703,285.6295845698536
