index,INVC_CONT
32000,4.647836459405516
32001,5.12819460949246
32002,4.0694600144134165
32003,4.587277829146607
32004,4.170950758985622
32005,5.259366767235566
32006,4.176667917184261
32007,4.134948172341174
32008,4.639943695955419
32009,4.5005486198445
32010,4.695766296466433
32011,4.090242028519935
32012,4.57958044933364
32013,4.644421734720454
32014,4.579493233933499
32015,3.9255403070636463
32016,3.9256150607099194
32017,3.9079962048904413
32018,4.046185897933368
32019,4.092953290343331
32020,4.168928434073003
32021,4.168974531844655
32022,4.169003188617852
32023,4.15099720320772
32024,4.193220906636
32025,4.090242029961827
32026,4.433497469142577
32027,4.4552165947293805
32028,4.4552165949537565
32029,4.587178168747928
32030,4.579407268084706
32031,4.614165170352512
32032,4.090239542073362
32033,4.1689844995703
32034,3.9255029302094715
32035,4.587203087384898
32036,4.407351288122175
32037,4.168984499705758
32038,4.455216595002595
32039,4.58944021715001
32040,4.644396804905666
32041,4.099207385585411
32042,4.087728241921182
32043,4.170950766348714
32044,4.8275993482872614
32045,4.429322520709143
32046,4.4924974821251835
32047,4.05895155973469
32048,4.1992693491726305
32049,4.199344103199041
32050,4.6537103219583935
32051,4.429325013720064
32052,4.672405658954678
32053,4.046185900233114
32054,4.254876379207569
32055,4.09020091824232
32056,4.5794097604401225
32057,4.5794097617985186
32058,4.6034068516108055
32059,4.500548626074823
32060,4.070045182529409
32061,4.433497471241235
32062,4.394829303545405
32063,4.925439677312005
32064,4.394904057757978
32065,4.118378560750747
32066,4.402293648186727
32067,4.604680789531843
32068,4.815933893471365
32069,4.9323918352435765
32070,5.573932608050249
32071,4.317084505727986
32072,4.859381916394571
32073,4.312496374997937
32074,4.394829304107227
32075,4.686221071677724
32076,4.296265121676957
32077,4.346589552506102
32078,4.775995042371071
32079,4.296302497344401
32080,4.317105686926735
32081,4.788075918859015
32082,4.7142178965424355
32083,4.775842855328273
32084,4.806264057196998
32085,4.801762457357427
32086,4.858685602402107
32087,4.1184159391728565
32088,4.327648351056525
32089,4.28339876405176
32090,4.346589553174955
32091,4.3887434862576615
32092,4.388743486669543
32093,4.815933895667684
32094,4.402256272128316
32095,4.3887310243888225
32096,4.296302498064898
32097,5.367141730154267
32098,4.283324010478769
32099,4.312496376261842
32100,5.019385449291317
32101,4.402218896066107
32102,5.112790084646733
32103,4.538918624811268
32104,4.932125137449384
32105,4.714678873817634
32106,4.536338831463028
32107,4.326977612623126
32108,4.296265121843624
32109,4.346587063246931
32110,5.307624956464001
32111,6.117497006287325
32112,3.778564773061021
32113,8.739752321248762
32114,6.509556160983626
32115,6.091436425585097
32116,6.091436426992336
32117,6.331389793540784
32118,3.2656881115041156
32119,4.629959451260997
32120,5.3900043173862615
32121,4.82292146096987
32122,4.672248072391144
32123,5.980357930302965
32124,5.106322104114019
32125,7.610107632520217
32126,5.635192435701323
32127,5.108581702126824
32128,4.831318318302153
32129,5.073273959574833
32130,5.0732739618086
32131,5.15127539973069
32132,4.801983135484214
32133,4.817478102326865
32134,20.105104081299647
32135,4.305220071595797
32136,5.5060065175540585
32137,4.330265072303622
32138,5.053028989252698
32139,4.815896177467336
32140,4.917041510274502
32141,4.000436461086069
32142,5.933832694165342
32143,5.3211763260773814
32144,4.925030056316546
32145,5.9338401302032775
32146,4.7896485977255585
32147,4.69576174062139
32148,5.2147838340361465
32149,5.294370241101487
32150,4.741062746050987
32151,4.920219663076458
32152,15.045582358165396
32153,5.125832665501323
32154,5.125832665812274
32155,5.125832665999185
32156,5.1258326660122036
32157,4.867628272595619
32158,4.867628272608466
32159,4.867628273380682
32160,5.12583266730779
32161,4.867628273381292
32162,5.125832666254183
32163,5.125832666802975
32164,5.061605500736269
32165,4.536383124957327
32166,5.115358342328033
32167,7.032454631263092
32168,5.1252606104055545
32169,5.591594593754849
32170,5.876887290391677
32171,6.423671596763658
32172,5.303174408870815
32173,6.5879639501609795
32174,5.957734448125786
32175,4.913681517831055
32176,4.532565994329843
32177,5.349772939213246
32178,6.106779089630004
32179,6.433447603335669
32180,5.072133230602584
32181,7.062015898960467
32182,5.858530298743909
32183,4.9647717131505145
32184,5.035415539476812
32185,3.7527398870245365
32186,3.7527398870253452
32187,3.752739887187163
32188,3.752814640697145
32189,3.7528893944063992
32190,3.750101477236196
32191,3.7501575426828837
32192,3.7501575426953666
32193,3.8674058712131
32194,3.867443247949952
32195,3.8674806251599683
32196,3.973882214739094
32197,3.894268031275374
32198,3.894305407912329
32199,3.922816806691131
32200,3.884233327602592
32201,3.8842333276517325
32202,4.599796812924177
32203,3.9229488217051722
32204,3.922986199002088
32205,3.9230322967610554
32206,3.9230422642380995
32207,3.9621986240206297
32208,3.930763063720842
32209,3.9308004404816925
32210,3.9082061499691525
32211,3.9283575537842523
32212,3.8730523819413603
32213,4.175051277030853
32214,4.183944512675809
32215,4.265814946663579
32216,4.265814947212256
32217,4.265864779825063
32218,4.314427689427286
32219,4.314427689564232
32220,4.232110697534685
32221,4.410648731583228
32222,4.358980410774527
32223,4.256976697892468
32224,4.312202581797549
32225,4.385178121965475
32226,3.752739888008756
32227,3.752777264993951
32228,3.7501949204527842
32229,3.8942680319609426
32230,3.8842707051485705
32231,3.924859026095294
32232,3.925045908381099
32233,3.962179936268402
32234,3.9308378188504687
